1,33.67151,-117.36829,62.62
2,33.67239,-117.36712,486.96
3,33.67326,-117.366,184.99
4,33.67415,-117.36496,32.83
5,33.67472,-117.36403,62.23
6,33.67569,-117.36292,41.84
7,33.67657,-117.36189,152.88
8,33.67728,-117.36105,107.55
9,33.67789,-117.36027,136.38
10,33.67861,-117.35947,34.94
16,33.67154,-117.36835,380.14
17,33.67213,-117.36768,295.34
18,33.67275,-117.36701,305.9
19,33.6734,-117.36625,292.94
20,33.67392,-117.36574,169.5
21,33.6748,-117.36461,221.45
22,33.67582,-117.36327,275.54
23,33.67649,-117.36255,213.29
24,33.67742,-117.36147,255.79
25,33.67845,-117.36019,136.83
31,33.67122,-117.36784,254.5
32,33.67184,-117.367,214.83
33,33.67242,-117.36628,151.64
34,33.67315,-117.3654,416.58
35,33.67389,-117.36444,124.26
36,33.67464,-117.36354,125.8
37,33.67561,-117.3621,194.52
38,33.67657,-117.36087,280.53
39,33.67742,-117.36969,119.67
40,33.6784,-117.35856,312.38
