1,33.67173,-117.36776,145.72
2,33.67247,-117.36772,143.43
3,33.67331,-117.36634,127.14
4,33.67405,-117.36544,97.14
5,33.67478,-117.36462,134.28
6,33.67563,-117.36367,167.46
7,33.67634,-117.36279,138.42
8,33.67698,-117.36196,147.59
9,33.67755,-117.36121,190.51
10,33.67812,-117.3605,137.04
16,33.67171,-117.36778,52.64
17,33.67258,-117.36732,208.98
18,33.67316,-117.36678,142.07
19,33.67367,-117.36611,169.08
20,33.6743,-117.3654,161.51
21,33.67502,-117.36473,237.33
22,33.67585,-117.36365,156.32
23,33.67648,-117.36289,145.53
24,33.67736,-117.36191,210.52
25,33.67824,-117.36073,156.30
31,33.6723,-117.36909,189.02
32,33.67165,-117.36827,157.49
33,33.6706,-117.36683,184.87
34,33.6954,-117.36555,170.32
35,33.66854,-117.3644,185.81
36,33.6675,-117.36324,284.88
37,33.6666,-117.36209,144.53
38,33.66574,-117.36091,143.52
39,33.66491,-117.35959,191.99
40,33.66361,-117.35785,177.41
